region_country,category,parameter,mode,powertrain,year,unit,value,Aggregate group
Italy,Historical,EV charging points,EV,Publicly available slow,2012,charging points,1400,#NAME?
Italy,Historical,EV charging points,EV,Publicly available slow,2013,charging points,1400,#NAME?
Italy,Historical,EV charging points,EV,Publicly available slow,2014,charging points,1400,#NAME?
Spain,Historical,EV charging points,EV,Publicly available slow,2015,charging points,1400,#NAME?
Netherlands,Historical,EV charging points,EV,Publicly available fast,2019,charging points,1300,#NAME?
Italy,Historical,EV charging points,EV,Publicly available fast,2019,charging points,1100,#NAME?
United Kingdom,Historical,EV charging points,EV,Publicly available fast,2018,charging points,1100,#NAME?
United Kingdom,Historical,EV charging points,EV,Publicly available fast,2019,charging points,1100,#NAME?
France,Historical,EV charging points,EV,Publicly available fast,2016,charging points,1000,#NAME?
France,Historical,EV charging points,EV,Publicly available fast,2017,charging points,1000,#NAME?
United Kingdom,Historical,EV charging points,EV,Publicly available fast,2017,charging points,920,#NAME?
Netherlands,Historical,EV charging points,EV,Publicly available fast,2018,charging points,820,#NAME?
France,Historical,EV charging points,EV,Publicly available slow,2012,charging points,800,#NAME?
Spain,Historical,EV charging points,EV,Publicly available slow,2013,charging points,800,#NAME?
Spain,Historical,EV charging points,EV,Publicly available slow,2014,charging points,800,#NAME?
United Kingdom,Historical,EV charging points,EV,Publicly available fast,2016,charging points,780,#NAME?
Italy,Historical,EV charging points,EV,Publicly available fast,2018,charging points,700,#NAME?
France,Historical,EV charging points,EV,Publicly available fast,2015,charging points,580,#NAME?
United Kingdom,Historical,EV charging points,EV,Publicly available fast,2015,charging points,540,#NAME?
Germany,Historical,EV charging points,EV,Publicly available fast,2015,charging points,470,#NAME?
Italy,Historical,EV charging points,EV,Publicly available fast,2017,charging points,460,#NAME?
Spain,Historical,EV charging points,EV,Publicly available fast,2017,charging points,440,#NAME?
Spain,Historical,EV charging points,EV,Publicly available fast,2018,charging points,440,#NAME?
Netherlands,Historical,EV charging points,EV,Publicly available fast,2017,charging points,410,#NAME?
Netherlands,Historical,EV charging points,EV,Publicly available slow,2010,charging points,400,#NAME?
Netherlands,Historical,EV charging points,EV,Publicly available slow,2011,charging points,400,#NAME?
Netherlands,Historical,EV charging points,EV,Publicly available fast,2016,charging points,400,#NAME?
Spain,Historical,EV charging points,EV,Publicly available slow,2012,charging points,400,#NAME?
Spain,Historical,EV charging points,EV,Publicly available fast,2016,charging points,360,#NAME?
United Kingdom,Historical,EV charging points,EV,Publicly available fast,2014,charging points,250,#NAME?
Spain,Historical,EV charging points,EV,Publicly available fast,2015,charging points,240,#NAME?
Netherlands,Historical,EV charging points,EV,Publicly available fast,2015,charging points,220,#NAME?
Italy,Historical,EV charging points,EV,Publicly available fast,2016,charging points,170,#NAME?
Germany,Historical,EV charging points,EV,Publicly available fast,2014,charging points,120,#NAME?
Netherlands,Historical,EV charging points,EV,Publicly available fast,2014,charging points,120,#NAME?
France,Historical,EV charging points,EV,Publicly available fast,2014,charging points,110,#NAME?
Spain,Historical,EV charging points,EV,Publicly available fast,2014,charging points,110,#NAME?
France,Historical,EV charging points,EV,Publicly available fast,2013,charging points,100,#NAME?
Spain,Historical,EV charging points,EV,Publicly available fast,2013,charging points,91,#NAME?
United Kingdom,Historical,EV charging points,EV,Publicly available fast,2013,charging points,80,#NAME?
Italy,Historical,EV charging points,EV,Publicly available fast,2015,charging points,70,#NAME?
Germany,Historical,EV charging points,EV,Publicly available fast,2013,charging points,47,#NAME?
Netherlands,Historical,EV charging points,EV,Publicly available fast,2012,charging points,21,#NAME?
Netherlands,Historical,EV charging points,EV,Publicly available fast,2013,charging points,21,#NAME?
Germany,Historical,EV charging points,EV,Publicly available fast,2012,charging points,18,#NAME?
Italy,Historical,EV charging points,EV,Publicly available fast,2014,charging points,10,#NAME?
France,Historical,EV charging points,EV,Publicly available fast,2012,charging points,9,#NAME?
