FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,TIME_PERIOD,Osservazione,OBS_STATUS,"'Stato dell""'osservazione'",NOTE_REF_AREA,Territorio (NOTE_REF_AREA),NOTE_DATA_TYPE,Indicatore (NOTE_DATA_TYPE),NOTE_TIME_PERIOD,Tempo (NOTE_TIME_PERIOD),BASE_PER,Anno base,UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione,Regione
005005,Asti,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2018,0.3,,,,,,,,,,,,,,,,,
005005,Asti,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2019,0.4,,,,,,,,,,,,,,,,,
005005,Asti,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2020,1.7,,,,,,,,,,,,,,,,,
005005,Asti,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2021,3.2,,,,,,,,,,,,,,,,,
005005,Asti,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2022,3.4,,,,,,,,,,,,,,,,,
005005,Asti,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2023,5.3,,,,,,,,,,,,,,,,,
006003,Alessandria,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2015,0.1,,,,,,,,,,,,,,,,,
006003,Alessandria,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2016,0.1,,,,,,,,,,,,,,,,,
006003,Alessandria,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2017,0.1,,,,,,,,,,,,,,,,,
006003,Alessandria,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2018,0.2,,,,,,,,,,,,,,,,,
006003,Alessandria,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2019,0.4,,,,,,,,,,,,,,,,,
006003,Alessandria,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2020,1.2,,,,,,,,,,,,,,,,,
006003,Alessandria,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2021,3.1,,,,,,,,,,,,,,,,,
006003,Alessandria,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2022,3.8,,,,,,,,,,,,,,,,,
006003,Alessandria,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2023,5.3,,,,,,,,,,,,,,,,,
096004,Biella,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2015,0.1,,,,,,,,,,,,,,,,,
096004,Biella,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2016,0.2,,,,,,,,,,,,,,,,,
096004,Biella,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2017,0.2,,,,,,,,,,,,,,,,,
096004,Biella,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2018,0.2,,,,,,,,,,,,,,,,,
096004,Biella,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2019,0.5,,,,,,,,,,,,,,,,,
096004,Biella,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2020,1.3,,,,,,,,,,,,,,,,,
096004,Biella,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2021,3.3,,,,,,,,,,,,,,,,,
096004,Biella,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2022,3.6,,,,,,,,,,,,,,,,,
096004,Biella,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2023,4.8,,,,,,,,,,,,,,,,,
103072,Verbania,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2015,0.1,,,,,,,,,,,,,,,,,
103072,Verbania,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2016,0.1,,,,,,,,,,,,,,,,,
103072,Verbania,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2017,0.1,,,,,,,,,,,,,,,,,
103072,Verbania,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2018,0.4,,,,,,,,,,,,,,,,,
103072,Verbania,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2019,0.4,,,,,,,,,,,,,,,,,
103072,Verbania,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2020,0.8,,,,,,,,,,,,,,,,,
103072,Verbania,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2021,3.5,,,,,,,,,,,,,,,,,
103072,Verbania,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2022,5.5,,,,,,,,,,,,,,,,,
103072,Verbania,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2023,6.5,,,,,,,,,,,,,,,,,
007003,Aosta,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2015,0.2,,,,,,,,,,,,,,,,,
007003,Aosta,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2016,0.3,,,,,,,,,,,,,,,,,
007003,Aosta,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2017,0.5,,,,,,,,,,,,,,,,,
007003,Aosta,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2018,0.7,,,,,,,,,,,,,,,,,
007003,Aosta,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2019,0.7,,,,,,,,,,,,,,,,,
007003,Aosta,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2020,2.6,,,,,,,,,,,,,,,,,
007003,Aosta,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2021,6.1,,,,,,,,,,,,,,,,,
007003,Aosta,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2022,7.7,,,,,,,,,,,,,,,,,
007003,Aosta,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2023,9.5,,,,,,,,,,,,,,,,,
008031,Imperia,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2015,0.1,,,,,,,,,,,,,,,,,
008031,Imperia,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2016,0.1,,,,,,,,,,,,,,,,,
008031,Imperia,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2017,0.2,,,,,,,,,,,,,,,,,
008031,Imperia,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2018,0.3,,,,,,,,,,,,,,,,,
008031,Imperia,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2019,0.5,,,,,,,,,,,,,,,,,
008031,Imperia,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2020,0.8,,,,,,,,,,,,,,,,,
008031,Imperia,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2021,1.8,,,,,,,,,,,,,,,,,
008031,Imperia,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2022,3.1,,,,,,,,,,,,,,,,,
008031,Imperia,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2023,4.5,,,,,,,,,,,,,,,,,
009056,Savona,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2015,0.1,,,,,,,,,,,,,,,,,
009056,Savona,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2016,0.1,,,,,,,,,,,,,,,,,
009056,Savona,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2017,0.1,,,,,,,,,,,,,,,,,
009056,Savona,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2018,0.1,,,,,,,,,,,,,,,,,
009056,Savona,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2019,0.3,,,,,,,,,,,,,,,,,
009056,Savona,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2020,0.8,,,,,,,,,,,,,,,,,
009056,Savona,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2021,2.9,,,,,,,,,,,,,,,,,
009056,Savona,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2022,3.7,,,,,,,,,,,,,,,,,
009056,Savona,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2023,4.9,,,,,,,,,,,,,,,,,
010025,Genova,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2015,0.1,,,,,,,,,,,,,,,,,
010025,Genova,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2016,0.1,,,,,,,,,,,,,,,,,
010025,Genova,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2017,0.2,,,,,,,,,,,,,,,,,
010025,Genova,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2018,0.4,,,,,,,,,,,,,,,,,
010025,Genova,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2019,0.8,,,,,,,,,,,,,,,,,
010025,Genova,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2020,1.6,,,,,,,,,,,,,,,,,
010025,Genova,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2021,3.1,,,,,,,,,,,,,,,,,
010025,Genova,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2022,3.9,,,,,,,,,,,,,,,,,
010025,Genova,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2023,5.1,,,,,,,,,,,,,,,,,
011015,La Spezia,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2015,0.1,,,,,,,,,,,,,,,,,
011015,La Spezia,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2016,0.1,,,,,,,,,,,,,,,,,
